timestamp,open,high,low,close,volume
1741532400000,83602.58,83768.34,82711.5,83080.41,2011.81321
1741536000000,83080.4,83758.22,82327.59,82496.01,2326.08392
1741539600000,82496.01,82944.0,82223.0,82366.0,1427.44276
1741543200000,82365.99,83340.58,82264.0,82670.0,1491.41884
1741546800000,82670.0,82988.11,82336.36,82640.86,1010.21232
1741550400000,82640.86,83539.66,82615.38,83083.15,858.57068
1741554000000,83083.16,83090.02,81555.0,81845.11,1681.2986
1741557600000,81845.12,82066.23,80202.53,80358.19,2498.36258
1741561200000,80358.18,81042.41,80000.0,80734.37,2515.51987
1741564800000,80734.48,81500.0,80037.62,81292.0,2119.91701
1741568400000,81292.01,81888.0,80802.59,81766.01,1700.61474
1741572000000,81766.01,82744.0,81526.25,82198.12,1747.3959
1741575600000,82198.12,82333.37,81791.82,82047.49,1063.09038
1741579200000,82047.49,82659.14,82004.0,82634.05,647.00669
1741582800000,82634.05,82797.95,82124.35,82308.52,761.63193
1741586400000,82308.51,82425.71,81977.27,82332.67,718.31521
1741590000000,82333.81,82687.5,82048.44,82318.77,735.02286
1741593600000,82318.78,82391.75,81151.0,81350.46,1240.84016
1741597200000,81350.46,84123.46,81325.32,82514.26,3135.7787
1741600800000,82514.27,82683.99,81630.59,82288.19,960.18393
1741604400000,82288.19,83826.02,82065.73,83582.0,1355.26923
1741608000000,83582.0,83771.94,82634.16,83248.12,1804.51434
1741611600000,83248.12,83313.99,81423.51,81528.94,2151.30539
1741615200000,81528.93,81528.93,79177.03,79847.08,6049.79262
1741618800000,79847.09,81118.32,79570.57,80043.85,2855.95678
1741622400000,80043.84,80250.0,78992.1,79009.98,2435.72646
1741626000000,79009.01,79327.98,78202.0,78459.91,4021.36721
1741629600000,78459.9,79147.05,77501.1,77655.26,3305.83539
1741633200000,77655.25,79533.57,77459.91,79060.84,3706.69015
1741636800000,79060.84,79729.73,78409.4,79304.98,1749.77269
1741640400000,79304.97,79886.03,78959.9,79565.81,1079.83363
1741644000000,79566.86,79845.42,79200.0,79502.36,890.45364
1741647600000,79502.36,79708.0,78449.98,78595.86,1397.06901
1741651200000,78595.86,79235.77,76606.0,77673.6,5219.87886
1741654800000,77673.6,79130.93,76816.52,79130.66,3194.38716
1741658400000,79130.65,79650.0,78938.0,79354.53,1754.34261
1741662000000,79354.54,79938.27,79279.9,79522.29,953.63506
1741665600000,79522.29,80245.26,79439.9,79759.91,1261.6828
1741669200000,79759.91,80457.0,79719.87,80261.78,1400.52299
1741672800000,80261.78,80547.79,80091.18,80099.33,727.41838
1741676400000,80099.32,80614.89,80088.0,80424.95,1177.73486
1741680000000,80424.94,81525.62,80325.22,81131.16,2032.15403
1741683600000,81131.15,81900.05,81129.98,81460.39,1344.56881
1741687200000,81460.38,81886.31,81269.85,81808.26,1037.52973
1741690800000,81808.25,82092.34,81400.0,81720.34,1184.00715
1741694400000,81720.33,81909.69,81017.0,81225.5,1849.7363
1741698000000,81225.49,82225.21,80536.33,80898.49,4637.72925
1741701600000,80898.5,81374.92,79058.0,79773.04,6591.00781
1741705200000,79773.05,81666.0,79653.69,81232.24,3555.27893
1741708800000,81232.23,81900.0,80609.96,81386.8,2212.88519
1741712400000,81386.79,81727.27,80777.75,81305.57,1542.25683
1741716000000,81305.58,83470.01,81288.61,83280.94,2780.96936
1741719600000,83280.95,83617.4,82846.31,83104.01,1549.39261
1741723200000,83104.01,83170.38,82586.84,82799.68,845.3044
1741726800000,82799.68,83265.38,82799.67,83110.72,576.90124
1741730400000,83110.71,83306.87,82981.3,83133.48,560.5699
1741734000000,83133.48,83185.0,82550.52,82932.99,780.17427
1741737600000,82932.99,83142.11,82604.95,82765.52,658.58485
1741741200000,82765.52,83783.26,82752.58,83313.6,1260.16624
1741744800000,83313.6,83330.04,82217.01,82430.79,1790.05082
1741748400000,82430.8,82620.01,82100.61,82127.72,1003.13679
1741752000000,82127.73,82180.0,81617.76,81811.05,1145.12345
1741755600000,81811.05,82048.93,81617.0,81987.43,734.00302
1741759200000,81987.44,81987.44,81296.0,81425.98,774.02218
1741762800000,81425.97,82541.47,81332.66,82447.79,1412.35169
1741766400000,82447.78,82841.82,82000.29,82689.67,1582.29339
1741770000000,82689.66,82933.32,82228.09,82680.06,1177.88498
1741773600000,82680.06,82771.05,82106.09,82492.67,1102.97753
1741777200000,82492.67,83076.79,82430.01,83004.45,1011.46578
1741780800000,83004.45,84539.85,82873.2,84069.0,3646.97894
1741784400000,84069.01,84217.12,82357.44,82686.27,3372.60984
1741788000000,82686.26,82920.35,81528.58,81535.72,2050.67834
1741791600000,81535.72,82013.4,80607.65,81738.97,2743.33871
1741795200000,81738.97,82287.52,81626.64,81970.76,1321.98489
1741798800000,81970.77,82884.51,81780.01,81844.41,1198.71111
1741802400000,81844.41,82803.76,81723.0,82628.68,844.66253
1741806000000,82628.67,83165.46,82487.85,82915.93,850.153
1741809600000,82915.94,83189.23,82709.36,83124.95,576.74871
1741813200000,83124.95,83321.51,82852.29,83093.69,387.93382
1741816800000,83093.69,83693.0,83087.4,83651.15,607.96587
1741820400000,83651.15,83887.26,83409.09,83680.12,680.15952
1741824000000,83680.12,84000.0,83438.67,83444.88,1194.25124
1741827600000,83444.89,84222.0,83312.92,83919.68,950.45575
1741831200000,83919.69,84336.33,83743.14,83785.58,902.34187
1741834800000,83785.59,84199.54,83542.53,83577.14,720.43836
