timestamp,close,high,low,open,volume,200_ma,rsi,adx,macd_histogram,atr,obv,market_state,questionable
2024-08-29 00:00:00,59388.1796875,61184.08203125,58786.2265625,59027.46875,32224990582,63589.3123242188,45.6673660420348,20.0947834139644,18.406541562014,2695.22288694362,1239687119466,Bull,False
2024-08-30 00:00:00,59119.4765625,59896.88671875,57768.53125,59388.6015625,32292756405,63635.11859375,44.9809594109327,20.071926344101,-81.8011834399945,2654.73235707264,1207394363061,Bear,False
2024-08-31 00:00:00,58969.8984375,59432.59375,58768.78515625,59117.48046875,12403470760,63681.2558789063,44.579271716815,20.050701922085,-148.280010564066,2512.52351683531,1194990892301,Bear,False
2024-09-01 00:00:00,57325.48828125,59062.0703125,57217.82421875,58969.80078125,24592449997,63708.74984375,40.316701423021,20.5720858471565,-285.192015862828,2464.78941518636,1170398442304,Bear,False
2024-09-02 00:00:00,59112.48046875,59403.0703125,57136.02734375,57326.96875,27036454524,63744.6194726563,46.3232125634127,20.8573004713803,-239.438927680813,2450.66466901234,1197434896828,Bear,False
2024-09-03 00:00:00,57431.0234375,59815.05859375,57425.16796875,59106.19140625,26666961053,63770.9735742188,42.0363257124278,20.8759797352196,-302.395946662994,2446.3236658686,1170767935775,Bear,False
2024-09-04 00:00:00,57971.5390625,58511.5703125,55673.1640625,57430.34765625,35627680312,63802.5162890625,43.835657257348494,21.5269389163669,-287.69971826489,2474.32956473513,1206395616087,Bear,False
2024-09-05 00:00:00,56160.48828125,58300.58203125,55712.453125,57971.703125,31030280656,63822.7059960938,39.420149867301,22.1314010131466,-374.518087884596,2482.45808912905,1175365335431,Bear,False
2024-09-06 00:00:00,53948.75390625,56976.109375,52598.69921875,56160.19140625,49361693566,63833.5540429688,34.8087897381815,23.6337020226384,-545.129766884949,2617.81180820911,1126003641865,Bear,False
2024-09-07 00:00:00,54139.6875,54838.14453125,53740.0703125,53949.0859375,19061486526,63842.8281054688,35.5101420805302,25.0286958171665,-604.742605020995,2509.25912324775,1145065128391,Bear,False
2024-09-08 00:00:00,54841.56640625,55300.859375,53653.7578125,54147.93359375,18268287531,63857.8400390625,38.1445888809017,26.0028269869978,-557.672849721523,2447.6764403372,1163333415922,Bear,False
2024-09-09 00:00:00,57019.53515625,58041.125,54598.43359375,54851.88671875,34618096173,63886.4128515625,45.5743639014583,25.2542648325541,-350.732331350592,2518.7489379024,1197951512095,Bear,False
