timestamp,close,high,low,open,volume,200_MA,RSI,ADX,MACD_Histogram,ATR,OBV,Market_State,Questionable,market_state,questionable
2024-08-31 00:00:00+00:00,58969.8984375,59432.59375,58768.78515625,59117.48046875,12403470760,63681.25587890630,44.57927171681500,20.050701922085000,-148.2800105640660,2512.523516835310,1194990892301,Bear,FALSE,Ranging,
2024-09-01 00:00:00+00:00,57325.48828125,59062.0703125,57217.82421875,58969.80078125,24592449997,63708.74984375,40.31670142302100,20.572085847156500,-285.1920158628280,2464.789415186360,1170398442304,Bear,FALSE,Ranging,
2024-09-02 00:00:00+00:00,59112.48046875,59403.0703125,57136.02734375,57326.96875,27036454524,63744.61947265630,46.32321256341270,20.857300471380300,-239.4389276808130,2450.6646690123400,1197434896828,Bear,FALSE,Ranging,
2024-09-03 00:00:00+00:00,57431.0234375,59815.05859375,57425.16796875,59106.19140625,26666961053,63770.97357421880,42.03632571242780,20.875979735219600,-302.39594666299400,2446.3236658686000,1170767935775,Bear,FALSE,Ranging,
2024-09-04 00:00:00+00:00,57971.5390625,58511.5703125,55673.1640625,57430.34765625,35627680312,63802.5162890625,43.835657257348500,21.526938916366900,-287.6997182648900,2474.329564735130,1206395616087,Bear,FALSE,Ranging,
2024-09-05 00:00:00+00:00,56160.48828125,58300.58203125,55712.453125,57971.703125,31030280656,63822.70599609380,39.42014986730100,22.131401013146600,-374.51808788459600,2482.4580891290500,1175365335431,Bear,FALSE,Ranging,
2024-09-06 00:00:00+00:00,53948.75390625,56976.109375,52598.69921875,56160.19140625,49361693566,63833.55404296880,34.80878973818150,23.633702022638400,-545.1297668849490,2617.8118082091100,1126003641865,Bear,FALSE,Ranging,
2024-09-07 00:00:00+00:00,54139.6875,54838.14453125,53740.0703125,53949.0859375,19061486526,63842.82810546880,35.51014208053020,25.02869581716650,-604.7426050209950,2509.2591232477500,1145065128391,Bear,FALSE,Ranging,
2024-09-08 00:00:00+00:00,54841.56640625,55300.859375,53653.7578125,54147.93359375,18268287531,63857.8400390625,38.14458888090170,26.002826986997800,-557.672849721523,2447.676440337200,1163333415922,Bear,FALSE,Ranging,
2024-09-09 00:00:00+00:00,57019.53515625,58041.125,54598.43359375,54851.88671875,34618096173,63886.4128515625,45.57436390145830,25.25426483255410,-350.7323313505920,2518.748937902400,1197951512095,Bear,FALSE,Ranging,
2024-09-10 00:00:00+00:00,57648.7109375,58029.9765625,56419.4140625,57020.09765625,28857630507,63920.99666015630,47.53489418406190,24.559171403427900,-152.47703889767900,2453.878478052220,1226809142602,Bear,FALSE,Ranging,
2024-09-11 00:00:00+00:00,57343.171875,57991.3203125,55567.33984375,57650.2890625,37049062672,63949.85701171880,46.65595951599600,24.256290573428900,-29.362139470347800,2451.742905959210,1189760079930,Bear,FALSE,Ranging,
2024-09-12 00:00:00+00:00,58127.01171875,58534.359375,57330.1015625,57343.171875,33835707949,63981.82587890630,49.24857199519280,23.652734574109,109.79086991848000,2362.636827854980,1223595787879,Bear,FALSE,Ranging,
2024-09-13 00:00:00+00:00,60571.30078125,60648.0234375,57650.11328125,58130.32421875,32490528356,64012.07037109380,56.36971435542840,21.96858298574930,357.41737965728000,2408.0134941689100,1256086316235,Bear,FALSE,Ranging,
2024-09-14 00:00:00+00:00,60005.12109375,60656.72265625,59517.8828125,60569.1171875,16428405496,64026.66912109380,54.463408329404000,20.40042652293420,467.1162779831860,2317.3582334247000,1239657910739,Bear,FALSE,Ranging,
